s,prefL,alts,group
http://ec.europa.eu/esco/occupation/22213,Genealogist,,http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/14347,Geographer,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/23922,Golf course supervisor,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/17861,Goods deliverer,Goods delivery agent,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/16607,Greenkeeper,,http://ec.europa.eu/esco/isco2008/Concept/C6113
http://ec.europa.eu/esco/occupation/20435,Grill assistant,,http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/21456,Grill cook,,http://ec.europa.eu/esco/isco2008/Concept/C5120
http://ec.europa.eu/esco/occupation/19582,Ground hostess,,http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/19506,Group therapist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/14238,Guide,,http://ec.europa.eu/esco/isco2008/Concept/C5113
http://ec.europa.eu/esco/occupation/21602,Head chef,Kitchen manager,http://ec.europa.eu/esco/isco2008/Concept/C3434
http://ec.europa.eu/esco/occupation/17256,Head cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/22819,Head waiter,,http://ec.europa.eu/esco/isco2008/Concept/C5131
http://ec.europa.eu/esco/occupation/20680,Historian (researcher),"Historian, researcher",http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/22760,Hospital chaplain,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/20466,Hospital cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/23766,Hospital interpreter,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/20520,Hotel cashier,,http://ec.europa.eu/esco/isco2008/Concept/C5230
