http://ec.europa.eu/esco/skill/16125,Area responsibility (educational issues),Manager of an employment mediation office
http://ec.europa.eu/esco/skill/21596,Area responsibility (labour market issues),Manager of an employment mediation office
http://ec.europa.eu/esco/skill/21306,Area responsibility (social insurance issues),Manager of an employment mediation office
http://ec.europa.eu/esco/skill/15587,Ariba,Business administrator
http://ec.europa.eu/esco/skill/16033,ARIS Platform,Business administrator
http://ec.europa.eu/esco/skill/23651,Art valuation,Auctioneer-Auctioneer's assistant-Chief auctioneer
http://ec.europa.eu/esco/skill/15697,Artists' booking agency,Manager-Agent (music)-Artists' agent-Literary agent-Artists' booking agent-Booking agent
http://ec.europa.eu/esco/skill/19885,Asbestos decontamination,Industry cleaner-Attendant-Team supervisor (cleaning)
http://ec.europa.eu/esco/skill/23035,Asian archaeology,Archaeological scientist-Anthropologist-Archaeologist-Marine archaeologist
http://ec.europa.eu/esco/skill/23444,Asset management,Business administrator-Quality coordination adviser-Quality auditor-Household adviser-Estate manager-Estate director
http://ec.europa.eu/esco/skill/22428,ASW (business administration system),Office cashier-Cash office worker
http://ec.europa.eu/esco/skill/14256,Audio-visual tools,Conference host/hostess (receptionists and information clerks)-Course host/hostess-Conference manager
http://ec.europa.eu/esco/skill/18745,Auditing,Union treasurer
http://ec.europa.eu/esco/skill/15903,Autism care,Companion
http://ec.europa.eu/esco/skill/15828,AutoCAD,Landscape gardener-Land use planner-Town planner
http://ec.europa.eu/esco/skill/16532,AutoCAD Architecture,Land use planner-Town planner-Traffic planner (railways)
http://ec.europa.eu/esco/skill/21677,AutoCAD Civil 3D,Land use planner-Traffic planner (railways)-Town planner
http://ec.europa.eu/esco/skill/22297,AutoCAD LT,Land use planner-Town planner-Traffic planner (railways)
http://ec.europa.eu/esco/skill/14731,AutoCAD Map 3D,Town planner-Land use planner-Traffic planner (railways)
http://ec.europa.eu/esco/skill/22346,AutoCAD Mechanical,Land use planner-Traffic planner (railways)-Town planner
http://ec.europa.eu/esco/skill/15806,Automation technology,Industrial hygienist
http://ec.europa.eu/esco/skill/23459,Backoffice,Business administrator-Quality auditor-Quality coordination adviser-Office cashier-Broker's assistant-Church cashier-Cash office worker
http://ec.europa.eu/esco/skill/18394,Baggage handling,Luggage porter
http://ec.europa.eu/esco/skill/14762,Bakery and confectionery products,"Café manager-Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)-Café assistant"
http://ec.europa.eu/esco/skill/17932,Bartending,Restaurant assistant-Cabin attendant-Supply services staff (shipping)-Breakfast host/hostess-Attendant-Fast-food stand assistant-Serving assistant-Meals service assistant-Waiter/waitress-Head waiter-Bar assistant-Waiter/waitress (ship)-Sommelier-Bartender-Club host/hostess-Breakfast assistant-Waiter/waitress (café)-Valet
http://ec.europa.eu/esco/skill/15582,Basic baking,Restaurant assistant-Attendant-Breakfast host/hostess-Kitchen assistant-Assistant cook-Cash desk assistant (restaurant)-Meals service assistant-Serving assistant-Catering worker-Cash desk assistant (cafeteria)-Maintenance operative (catering)-Kitchen assistant (institution)-Breakfast assistant-School lunch assistant
http://ec.europa.eu/esco/skill/19957,Basic cleaning,"Cleaning foreman-Cleaner (helpers and cleaners in offices, hotels and other establishments)-Cleaning instructor-Industry cleaner-House cleaner-Cleaner (ship)-Stairs cleaner-Attendant-Cash desk assistant (restaurant)-Meals service assistant-Serving assistant-Supervisor (cleaning)-Cleaning worker-Team supervisor (cleaning)-Hospital cleaner-Cash desk assistant (cafeteria)-Head cleaner-Office cleaner-Construction site cleaner-Hotel cleaner-Aircraft cleaner"
http://ec.europa.eu/esco/skill/17999,Basic cooking,Restaurant assistant-Housekeeper-Domestic helper-Companion-Attendant-Breakfast host/hostess-Assistant cook-Kitchen assistant-Fast-food stand assistant-Cash desk assistant (restaurant)-Meals service assistant-Serving assistant-Catering worker-Bar assistant-Cold buffet assistant-Cash desk assistant (cafeteria)-Domestic cleaner-Maintenance operative (catering)-Club host/hostess-Kitchen assistant (institution)-Grill assistant-Child sitter (occasional)-Nanny-Domestic worker-Au pair-Child sitter-Valet-Breakfast assistant-School lunch assistant
http://ec.europa.eu/esco/skill/21137,Basic vehicle servicing,Undersealer-Labourer (general)
http://ec.europa.eu/esco/skill/22908,Beach holiday travel (guide experience),Tour guide-Guide-Wilderness guide-Sightseeing guide-Company guide-Tour leader-Local manager (travel company)-Fishing guide-Bus guide-Taxi guide-Industry guide-Courier-Local guide
http://ec.europa.eu/esco/skill/19566,Behavioural science,Archaeological scientist-Criminologist-Legal sociologist-Anthropologist-Archaeologist-Social anthropologist-Ethnologist
http://ec.europa.eu/esco/skill/19650,Behavioural therapy,Child psychologist-Child therapist-Therapist-Preschool psychologist-Conversational therapist-School psychologist-Industrial psychologist-Group therapist-Psychotherapist-Clinical psychologist-Family therapist-Psychologist
http://ec.europa.eu/esco/skill/22468,Benchmarking,Business administrator-Quality auditor-Quality coordination adviser
http://ec.europa.eu/esco/skill/14714,Bicycles,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)"
http://ec.europa.eu/esco/skill/17779,Bliss communication,Companion
http://ec.europa.eu/esco/skill/22979,Boarding school (caretaking),Matron-Assistant matron
http://ec.europa.eu/esco/skill/14670,Boating articles,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)"
http://ec.europa.eu/esco/skill/18046,Bocad-3D,Land use planner-Town planner-Traffic planner (railways)
http://ec.europa.eu/esco/skill/14659,Bonds,Broker's assistant
